Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
The Product Owner and Developers are preparing for the Sprint Review. They want to move the Daily Scrum to after the Sprint Review so they have more time to prepare. How could you handle this as a Scrum Master? Select 2 answers.,multi-select,Understand their point and delay the Daily Scrum making an exception in this case.,"Coach the Scrum Team on the importance of the Daily Scrum for keeping the project running smoothly and ask them various questions such as how they will they co-ordinate on tasks, avoid overlapping responsibilities, make sure all developers are thinking the same thing. Remind them that the Daily Scrum helps with the Sprint Review in this way.",Help the team prepare and remind the team to find a solution for Sprint Review preparedness in the retrospective so they can avoid last minute concerns.,Delay the Sprint Review instead of the Daily Scrum.,,,,,,,,,,,,"2,3",All the Scrum Events are equally important for different reasons. We must coach the team to understand the importance of each event and use the Sprint Retrospective to find long term solutions to impediments. The Scrum Master should also be prepared to roll up his sleeves and help. However missing or delaying events would actually make matters worse. This is why Scrum is strict about timeliness and ensuring all events take place. A Scrum Master is accountable for ensuring they happen and at the correct time.,
"There is 1 sprint left in this release. The Product Owner wants to convince the developers to reduce their estimates to squeeze more into the release. The Developers want to convince the Product Owner to give them more time so they can refactor the code to be more maintainable which will make it quicker in the future.

As a Scrum Master, What should you do?",multiple-choice,Tell the Developers that Product has priority over technical features and explain why.,Coach the Product owner to understand that trusting the developers estimates will save him disappointment and the Developers to understand that refactoring code is necessary but must be weighed against the upcoming release date. Facilitate a discussion for them to choose the best outcome.,Tell the Product Owner that the Developers must be kept motivated so giving them more time is the priority.,Allow the Developers and Product Owner to choose,,,,,,,,,,,,2,Finding balance between both points of view is often necessary. Helping the Developers and Product Owner to see each other's point of view often allows them to reach the best decision for the product (which is what they usually both want),
"The Developers are having trouble delivering a piece of code during the sprint it is the last day of the sprint. You have years of experience in the programming language they are using. They don't need you to write the code but you know it would be quicker if you did.

As a Scrum Master, what should you do?",multiple-choice,Write the code for them and coach them after the sprint.,Encourage the Developers to work later to solve the issue.,Leave the solution to the Developers since it is their area.,"Give the team any help they need to write the code without writing it yourself. Coach them, suggest options and let them pick the best.",,,,,,,,,,,,4,"As a Scrum Master you should coach teams using any knowledge you have. However avoid doing their job for them. If the team need you to write code as a last resort, trust them to ask. Allow them to learn from you and improve themselves. Working late should be discouraged as a remedy since it is a habit that reduces motivation over time. Even if they are unable to complete, they will have learned how to self-manage and improve at solving problems with your input.",
"Developers decide they don't want to use technical tasks. The head of department requires all projects to be estimated using tasks.

As a Scrum Master, What should you do?",multiple-choice,Discuss and understand the need for tasks vs the reasons for the Developers not wanting them.† Help them find the best possible solution., Help the head of department understand why tasks are unnecessary.,Support the Developers since there point of view overrides all decisions from a scrum perspective.,Tell the Developers they must use tasks.,,,,,,,,,,,,1,Rather than instruct the Development Team on a specific approach the Scrum Master's role is to coach them. The approach should be to facilitate a discussion and coach them on the pros on cons of their choices hence guiding them to make the best decision.,
"A Senior Product Manager asks one of the team members to take on some work that is NOT in the product backlog.

As a Scrum Master, What should you do?",multiple-choice,"Do nothing, the senior product managers are authorities on this matter",Raise this politely with the manager and explain the negative effect it usually has on the success of projects along with the benefits of working from the product backlog,Instruct the senior manager to stop doing this immediately ( as you are the authority on scrum ),Instruct the developers to work on what the senior manager has assigned,,,,,,,,,,,,2,"Working from the product backlog is a scrum principle, however management must be respected. They will not appreciate being ""instructed"". Explaining politely to a manager will be respected and give them an overview of why it is important to let the team focus. It will satisfy the managers to know that it will benefit them in the long term.",
Using Scrum tools ensures that any scrum team will be working more efficiently and at their best.,multiple-choice,TRUE,FALSE,,,,,,,,,,,,,,2,"Tools often are the best choice, however teams will need to explore the best option for themselves with the guidance of a good Scrum Master. Working on paper card can be a more enjoyable experience and should be weighed up. The team should not be forced to use a tool simply facilitated to help pick the best choice. ",
The Product Owner in your Scrum Team no longer wants to use a product backlog for managing the product feature requests. He wants to revert back to a requirements specification since this always worked before. What should you do as a Scrum Master?,multiple-choice,"Check the Product Owner understands the purpose of the Product Backlog. Would their previous method be simpler for the team and stakeholders to understand? How will it be prioritised easily and be transparent to the team? If the product backlog solves these issues, why not use it instead?",Explain that the Product Backlog is a compulsory within Scrum and non-negotiable.,Allow the Product Owner to make his own decisions on this since it is his area of authority.,Decide as a Scrum Team what should be done and be flexible.,,,,,,,,,,,,1,"Although the Product Backlog is core and necessary in every Scrum team, the way we explain this will strongly affect the outcome. The Product Owner will respond much more positively if the reasons and benefits are explained. Doing nothing goes against your accountability to coach the scrum team. However explaining that it is compulsory does not persuade the product owner to adopt it if he feels otherwise. The approach of coaching the benefits would be more helpful.",
"Developers are having issues with their many servers, software tools and automation tools. They cannot agree what to use and how best to use them to work together. Members of the team who have been in the company longer are dominating the debate. It has become an impediment raised at the daily Scrum.

What are the best options you can pick to help solve this problem as a Scrum Master ?

Choose 2 answers",multi-select,Introduce more software options to the team to pick from,Help the Developers to list their problems and what they want to achieve. Then help them prioritise and pick the software that they think would best solve their issue.,"Arrange a workshop to coach them on how to use their own experience, logic and empirical evidence to pick the best options. This way they can self-manage going forward.",Allow the Developers to tough it out as this is a normal part of any team's discussion,,,,,,,,,,,,"2,3","Helping the Developers to work out the path forward is the best way to ""teach them how to fish"". Workshops for larger issues or a facilitated meeting to solve the problem allow the developers to reach the solution themselves but with your assistance. If it is raised as an impediment it cannot be ignored as the Scrum Master is accountable for helping the team to resolve impediments.",
Every scrum team must have a release plan and this is a Scrum rule.,multiple-choice,FALSE,TRUE,,,,,,,,,,,,,,1,"Release planning is highly recommended for long term projects, however it is NOT compulsory or a scrum rule.",
"The developers are having trouble managing their code. It is stored on a server but they are unable to find the correct code for the upcoming release. It's somehow been lost. This was an impediment raised on a previous release with another Scrum master and it has happened again.

As a Scrum Master with some experience in other teams what could you suggest to resolve this ?",multiple-choice,Automated Acceptance Testing,A pipeline,Source / Version Control ,System Integration Tests,,,,,,,,,,,,3,"Source Control gives the developers a repository where they can store their files and version control allows them to find, tag and release the correct version of code.† The other options do not address the issue at hand. You are not expected to know this but awareness will help your teams. They could then research the best source control/version control tools for themselves.",
For the past year you have been running a number of projects for the business. The director would like to know how quickly the company is delivering value in comparison to the competition. Which of the following Key Value Areas will NOT help him do this the best way possible given what EBM has available?,multiple-choice,Current Value (CV),Unrealized Value (UV),Ability to Innovate (A2I),All of the Above,,,,,,,,,,,,4,"None of the above since Time-to-Market (T2M) should be used since it is The organization’s ability to quickly deliver new capabilities, services, or products ",
What kind of attributes should an Agile Scrum Culture embrace. Choose ALL that apply,multi-select,Transparency,Change,Adaptation,Command and control,All of the Above,,,,,,,,,,,"1,2,3","An Agile culture should embrace change, transparency and  adaptation among other things. However neither Agile nor  Scrum prescribed a command and control style. Rather it is more collaborative. ",